Документ,словосочетание,Вывод
доченька твоя совсем большая стала,дочь,"Позиция: 0-8
Вероятность: 1.0"
вся дорога забита деревьями и цветами,дерево,"Позиция: 18-27
Вероятность: 1.0"
в следующее воскресенье я собираюсь в питер,санкт петербург,"Позиция: 38-43
Вероятность: 1.0"
у меня сломалась стиралка прикинь,стиральная машина,"Позиция: 17-25
Вероятность: 1.0"
садись в машину и поехали уже,автомобиль,"Позиция: 9-15
Вероятность: 1.0"
сколько стоит ремонт стиральной машины,автомобиль,
ты когда собираешься звонить преподу,учитель,"Позиция: 29-36
Вероятность: 1.0"
возьмешь пистолет в тумбочке понял меня,оружие,"Позиция: 9-17
Вероятность: 1.0"
ты не мог бы набрать меня после обеда,звонить,"Позиция: 13-20
Вероятность: 1.0"
ты возьми корзину прежде чем набрать продукты,звонить,
его сегодня утром отвезли в ближайший госпиталь,больница,"Позиция: 38-47
Вероятность: 1.0"
в этому году смартфоны подорожают на 30 процентов,телефон,"Позиция: 13-22
Вероятность: 1.0"
я еще долгу не смогу вернуться в рф,россия,"Позиция: 33-35
Вероятность: 1.0"
мужчина средних лет с серым рюкзаком и шапкой,портфель,"Позиция: 28-36
Вероятность: 1.0"
в какой университет собирается поступать твой сын,институт,"Позиция: 8-19
Вероятность: 1.0"
он вообще не собирается переезжать в другое государство,страна,"Позиция: 44-55
Вероятность: 1.0"
сегодня ночью наше судно отплывает по расписанию,корабль,"Позиция: 19-24
Вероятность: 1.0"
его оригинальный портрет выставлен на продажу,подлинная картина,"Позиция: 4-24
Вероятность: 1.0"
